id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06976,29.04379,Entire home/apt,1235,365,41,2018-11-07,0.29,2,363,0,
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,408,30,2,2018-05-04,0.02,1,333,0,
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04672,28.98402,Entire home/apt,688,14,1,2021-05-15,0.13,16,357,1,
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1412,3,0,,,1,88,0,
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,515,3,0,,,1,365,0,
30697,nice home in popular area,132137,Nan,,Beyoglu,41.03213,28.978,Private room,1166,1,1,2010-06-14,0.01,1,365,0,
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05376,28.99876,Private room,616,2,1,2014-10-21,0.01,2,364,0,
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06681,29.04035,Entire home/apt,412,10,8,2016-07-14,0.09,2,302,0,
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02694,28.97628,Private room,711,1,0,,,1,365,0,
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.0347,28.97369,Entire home/apt,315,5,39,2021-12-17,0.43,2,244,2,
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04962,28.99846,Private room,773,1,0,,,1,365,0,
41753,Emir Apartment / Penthouse,182639,Mehmet Ali,,Beyoglu,41.02907,28.97794,Entire home/apt,805,5,46,2017-05-21,0.34,6,179,0,
42246,Room on a Hill - quiet and comfy,184607,Mina,,Besiktas,41.06429,29.03945,Entire home/apt,700,3,45,2016-11-07,0.35,1,363,0,
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.02942,28.98154,Private room,1083,180,86,2015-10-06,0.62,2,270,0,
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03084,28.97986,Entire home/apt,408,5,24,2021-03-14,0.58,2,31,2,
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.0337,28.99039,Private room,515,3,0,,,1,365,0,
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03258,29.03239,Entire home/apt,991,3,20,2021-11-03,0.18,4,359,7,
52828,Prince Apartment/Penthouse,182639,Mehmet Ali,,Beyoglu,41.0269,28.97924,Entire home/apt,921,5,27,2017-03-14,0.21,6,181,0,
73477,Cozy Flat in center of Istanbul,383789,Berat,,Beyoglu,41.03441,28.98659,Entire home/apt,350,2,0,,,1,347,0,
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,1189,3,6,2021-10-31,0.36,10,340,4,
88949,Wonderful House with Historical View,485384,Alev,,Beyoglu,41.03319,28.98071,Entire home/apt,1283,3,91,2021-10-23,0.70,2,361,5,
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.02937,28.98044,Private room,152,2,68,2020-01-02,0.54,1,274,0,
108164,Kurucesme design amazing seaview  forest room,213410,Evrim,,Besiktas,41.06341,29.0364,Private room,288,7,6,2018-12-31,0.05,4,0,0,
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.02945,28.98253,Entire home/apt,556,2,3,2018-04-11,0.06,1,360,0,
124137,Beautiful Artist's home staycation,594053,Dev,,Beyoglu,41.03451,28.98654,Entire home/apt,641,2,65,2021-10-11,0.63,3,93,33,
124147,"Beautiful room in an Artist's home, staycation",594053,Dev,,Beyoglu,41.03311,28.991,Private room,320,3,146,2020-03-07,1.14,3,78,0,
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03625,28.99129,Entire home/apt,583,4,28,2019-09-19,0.25,1,334,0,
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.03631,28.97438,Entire home/apt,457,3,33,2021-11-22,0.26,1,75,6,
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06517,28.95571,Entire home/apt,1545,2,0,,,1,365,0,
135956,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.02984,28.97569,Private room,152,25,30,2021-11-01,0.24,11,195,1,
139804,Entire house in central Kadikoy,681763,Deniz,,Kadikoy,40.98574,29.02851,Entire home/apt,515,4,8,2019-12-21,0.06,1,362,0,
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03703,28.97592,Entire home/apt,525,3,129,2019-03-01,1.01,3,332,0,
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04786,28.98086,Private room,618,1,0,,,1,365,0,
152549,Room in Greenness inc Breakfast,734040,Can,,Sariyer,41.08582,29.05477,Private room,294,2,36,2021-10-04,0.28,2,192,2,
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.0383,28.98227,Private room,641,1,0,,,3,365,0,
162180,Nice flat in historical Galata,775317,Cigdem,,Beyoglu,41.02778,28.97628,Entire home/apt,1442,6,1,2011-09-25,0.01,1,365,0,
164216,Ottoman Flat 2BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03757,28.98327,Entire home/apt,1108,2,36,2019-06-13,0.30,3,362,0,
166265,Apartment in the Heart of the City1,792658,ISlK,,Beyoglu,41.03919,28.98266,Entire home/apt,785,3,159,2021-12-03,1.49,9,358,8,
169106,Kiptas Seyrantepe Residence Flat,805693,Koray,,Maltepe,40.9476,29.16943,Entire home/apt,1067,3,0,,,1,365,0,
170150,Lovely Gardened House 10 minutes walking to metro,810759,Tuna,,Uskudar,41.01713,29.06957,Entire home/apt,567,30,91,2021-11-01,0.74,2,301,5,
171593,Nice historical apartment in Galata,818744,Fırat,,Beyoglu,41.02566,28.97881,Entire home/apt,1545,7,3,2012-01-07,0.02,1,365,0,
183804,"IN THE CENTER OF CIHANGIR, ISTANBUL",825635,Merve,,Beyoglu,41.03029,28.98315,Entire home/apt,787,3,72,2021-11-28,0.58,4,362,5,
191058,Room with balcony in shared flat-for female guests,666066,Ali,,Beyoglu,41.0281,28.97585,Private room,185,20,26,2020-07-18,0.23,11,183,0,
191069,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.02797,28.97626,Private room,148,16,26,2021-11-14,0.22,11,327,2,
199068,"Luxurious, specially designed...!",972196,Taskin,,Esenyurt,41.02719,28.68328,Private room,1087,1,0,,,1,365,0,
199411,23JUN-01AUG/SUMMER DISCOUNT,973997,Shinnosuke,,Beyoglu,41.02812,28.97732,Entire home/apt,600,3,102,2021-02-28,0.82,1,360,1,
207933,GORGEOUS BOSPHORUS VIEW! COMFY ROOM,1023387,Daniele,,Beyoglu,41.03679,28.9921,Private room,408,3,10,2013-10-05,0.09,1,261,0,
213816,Stay near Bagdat Avenue - 3BR apt,767876,Pelin,,Kadikoy,40.97607,29.06526,Entire home/apt,916,3,32,2021-11-19,0.28,3,337,17,
214188,decent quality/price balance in Ist,1105099,Necip,,Fatih,41.01698,28.92835,Private room,175,20,40,2015-06-01,0.32,2,81,0,
220131,Charming Delightful Studio@Centre 4,466302,Demir,,Beyoglu,41.02802,28.97515,Entire home/apt,272,30,83,2020-02-25,0.66,12,365,0,
220149,Princess Apartment/Penthouse,182639,Mehmet Ali,,Beyoglu,41.02889,28.97782,Entire home/apt,921,5,9,2015-04-29,0.07,6,362,0,
222535,Cozy apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03354,29.03339,Entire home/apt,700,3,29,2021-12-05,0.24,4,361,3,
223519,We are in the center of Istanbul!,1162133,Tamer,,Kadikoy,40.97033,29.09902,Private room,505,1,4,2015-12-01,0.03,1,364,0,
224612,My nice flat in Nisantasi/,1169188,Esin,,Sisli,41.05758,28.99082,Private room,466,5,0,,,1,365,0,
224910,The Heart of Istanbul,1171112,Marya,,Basaksehir,41.10619,28.73866,Entire home/apt,1279,1,0,,,1,365,0,
226255,Harem/Penthouse,182639,Mehmet Ali,,Beyoglu,41.02698,28.97732,Entire home/apt,921,5,10,2019-08-21,0.08,6,361,0,
229498,Cozy studio apartment in Cihangir,1167189,Bilgehan,,Beyoglu,41.02878,28.98111,Entire home/apt,762,4,114,2021-11-12,0.94,2,343,1,
238904,2  PRIVATE ROOMS IN SULTANAHMET,1252482,Ramazan,,Fatih,41.00536,28.98055,Private room,670,1,0,,,1,365,0,
244604,FULL EQUIPPED FLAT IN OLD ISTANBUL,1283374,Timur,,Fatih,41.01379,28.9416,Private room,875,2,0,,,1,364,0,
247874,"Istiklal Avenue,Sadri alisik street",1298849,Berkan,,Beyoglu,41.03333,28.9803,Entire home/apt,265,2,170,2021-12-21,1.43,1,57,15,
253055,CIHANGIR | Stunning Bosphorus View!,852380,Ilker,,Beyoglu,41.03375,28.98324,Entire home/apt,1498,3,71,2021-11-07,0.58,5,239,3,
253859,A boutique experience in Istanbul,1333286,Erdal,,Beyoglu,41.03121,28.98085,Private room,1049,1,0,,,1,365,0,
254664,Sur la place de la tour de Galata,1337721,Hervé,,Beyoglu,41.02435,28.97479,Entire home/apt,1166,2,0,,,1,363,0,
256825,BLUE Mosque walking&Grand pazar مشي لكل مكان,1351134,Bãśmä,,Fatih,41.01234,28.94558,Private room,180,3,227,2021-09-14,1.94,15,86,2,
256838,"Down town,walk to everywhereوسط اسطنبول يوسف باشا",1351134,Bãśmä,,Fatih,41.01196,28.94689,Private room,177,2,17,2020-11-25,0.14,15,82,0,
259206,Cosy Flat at the Center of ISTANBUL,1323348,Feride,,Sisli,41.06362,28.9933,Entire home/apt,464,2,33,2021-07-29,0.28,4,314,1,
260378,Bright and characterful in Galata!,1366111,Julia & Tarkan,,Beyoglu,41.02586,28.97366,Entire home/apt,1528,3,121,2021-12-16,1.02,16,349,21,
262910,A clean and big room for you,1379693,Burcu,,Kadikoy,40.98308,29.08013,Private room,233,1,0,,,1,365,0,
265772,Furnished Flats & Historical Room,1393796,Hülya,,Sisli,41.05635,28.98644,Private room,412,1,0,,,2,365,0,
270561,"Minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",1351134,Bãśmä,,Fatih,41.01021,28.94509,Private room,158,2,152,2019-09-22,1.25,15,85,0,
270883,only 10 minutes to Sultanahmet,1417732,Tayfun,,Fatih,41.02397,28.94966,Entire home/apt,583,7,0,,,1,365,0,
271439,Charming Delightful Studio@Centre 3,466302,Demir,,Beyoglu,41.02822,28.97447,Entire home/apt,284,3,151,2021-10-18,1.24,12,359,6,
274454,"Galateia Apartments,1 BR up to 4",1435301,Galateia,,Beyoglu,41.02732,28.97465,Entire home/apt,1982,30,0,,,2,365,0,
276621,Girls Room TRAM STREET اتفضلوا اهلاً بيكم,1351134,Bãśmä,,Fatih,41.01143,28.94603,Shared room,134,3,79,2019-08-02,0.68,15,82,0,
277581,Standard Suites,1449395,Emre,,Kadikoy,40.99252,29.02529,Entire home/apt,443,3,31,2021-09-20,0.46,3,235,3,
277589,Spacious Family Apt in Kadiköy,1449395,Emre,,Kadikoy,40.99376,29.0251,Entire home/apt,758,3,8,2018-01-28,0.13,3,326,0,
277592,1+1 65m2 Deluxe Suitler,1449395,Emre,,Kadikoy,40.99472,29.02664,Entire home/apt,525,3,46,2018-06-03,0.42,3,352,0,
280227,Asian Side Apartment with SEA VIEW,1460766,Birim,,Kadikoy,40.97521,29.04125,Entire home/apt,1020,4,0,,,2,364,0,
282148,"High Quality, Professionally Managed Apt in Galata",1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,1049,3,78,2021-11-22,0.66,5,362,9,
282266,Design chic serviced apt in Galata.,1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,1316,3,41,2021-10-25,0.35,5,347,5,
282289,Modern serviced flat in Galata,1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,1116,3,98,2021-11-23,0.84,5,333,20,
282295,"Professionally Managed, High Quality Apt in Galata",1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,966,3,93,2021-11-28,0.79,5,355,23,
282881,"top location,bright & cozy 2bdr apt",353220,Özge,,Beyoglu,41.02845,28.97049,Entire home/apt,1166,1,57,2016-09-11,0.48,1,0,0,
284093,CENTRAL CLEAN SAFE WITH priv. GARDEN 2 BATHROOM,802569,Maria,,Beyoglu,41.03602,28.98753,Entire home/apt,1186,2,113,2021-12-27,0.93,1,336,2,
287982,Lovely Room at the heart of İSTANBL,1323348,Feride,,Sisli,41.06139,28.99395,Private room,206,1,10,2016-09-01,0.08,4,313,0,
287983,CENTRAL&SAFETY Location Bright Room,1323348,Feride,,Sisli,41.06157,28.99525,Private room,233,2,58,2018-09-25,0.49,4,314,0,
293754,2 bedr apart 5 mins from Airport,1497897,Mehmet Emin,,Bahcelievler,40.99144,28.84474,Entire home/apt,1038,3,4,2019-05-19,0.08,2,365,0,
297040,"Galateia  Bosphorus, 1BR w Terrace",1435301,Galateia,,Beyoglu,41.02761,28.97634,Entire home/apt,2332,1,0,,,2,365,0,
304011,Beyoglu/Center with Beautiful View,1564870,Living,,Beyoglu,41.03537,28.97316,Entire home/apt,558,3,18,2021-09-25,0.19,2,237,5,
304029,Zero km to City Center -- Friendly,1564916,Esen,,Sisli,41.05156,28.99052,Private room,227,2,35,2016-11-02,0.30,1,257,0,
305801,Sweet Garden  House,1572930,Mehmet,,Besiktas,41.04921,29.0221,Private room,250,2,2,2021-10-11,0.02,1,360,1,
316220,pvt Apt ◆ Anatolian Side of Istnbul,1624077,Can,,Uskudar,41.02466,29.03419,Entire home/apt,408,1,0,,,1,364,0,
318933,lovely home with sea view,1128679,Akın Savaş,,Kadikoy,40.9821,29.02276,Entire home/apt,1000,45,13,2021-06-28,0.16,1,335,1,
324576,Family  Apartment with Private Hammam,1667741,Ceyhun,,Fatih,41.00409,28.97903,Entire home/apt,1737,1,2,2021-11-06,0.04,5,357,1,
330043,İstanbul Beyoğlu Cihangir,1677640,Didem,,Beyoglu,41.03107,28.98585,Private room,816,1,0,,,1,365,0,
338403,120m2 private apart Taxim.,1719162,Emre,,Sisli,41.04133,28.98743,Entire home/apt,1399,2,7,2014-05-05,0.06,1,365,0,
338540,Walk to GRAND pazarيوسف باشا مشي لبيازيت,1351134,Bãśmä,,Fatih,41.01117,28.94704,Private room,175,3,62,2020-01-06,0.53,15,85,0,
341852,on Galata Roofs.  Super central istiklal avenue,1734426,Lino And Gioia,,Beyoglu,41.03415,28.98102,Entire home/apt,490,2,28,2019-10-16,0.30,3,273,0,
350818,Furnished Double BR with Breakfast,1778050,Ali Sinan,,Beyoglu,41.03117,28.9748,Private room,1283,1,0,,,1,365,0,
351006,Full Bosphorus Sea View ◆ near Park,1664518,Gokce Doruk,,Uskudar,41.02962,29.02154,Private room,408,2,0,,,1,365,0,
351790,in the city center,1782227,İnan,,Sisli,41.07781,29.00894,Hotel room,1236,10,2,2015-05-23,0.02,1,365,0,
355170,Modern Deluxe Studio Near to Taksim,730566,Murat,,Beyoglu,41.03622,28.98274,Private room,700,1,0,,,3,365,0,
360053,Modern Flat 30m to Istiklal- Taksim,1821399,Hakan,,Beyoglu,41.03485,28.98233,Entire home/apt,700,30,0,,,1,365,0,
362196,Apartment in the Heart of the City2,792658,ISlK,,Beyoglu,41.03915,28.98273,Entire home/apt,630,3,111,2021-10-25,1.22,9,351,9,
362228,Studio in the Heart of the City 1,792658,ISlK,,Beyoglu,41.03911,28.98266,Entire home/apt,541,3,172,2021-12-14,1.84,9,362,15,
362494,Single Room  @Taksim Downtown,1806816,Kaboom Guest House,,Beyoglu,41.03596,28.97148,Private room,157,6,6,2021-11-27,0.05,7,242,4,
364077,A single room in Istanbul - Kadikoy,1839212,Ferhat,,Kadikoy,40.99547,29.03697,Private room,408,2,0,,,1,365,0,
371112,Stylish 2 bedroom in Cihangir,1869420,Asli-Ali,,Beyoglu,41.02999,28.98291,Entire home/apt,854,2,73,2021-12-13,0.64,2,76,5,
374837,Charming Delightful Studio@Centre 2,466302,Demir,,Beyoglu,41.0273,28.97743,Entire home/apt,259,1,128,2021-09-22,1.08,12,323,2,
380072,"truly unique accommodation,Istanbul",1907609,Filiz,,Besiktas,41.05692,29.00054,Private room,1916,1,0,,,1,365,0,
385296,"Lot's of Light, Lot's of Green!",734040,Can,,Sariyer,41.08538,29.05278,Private room,251,3,25,2021-12-04,0.22,2,327,10,
398075,Charming Delightful Studio@Centre 1,466302,Demir,,Beyoglu,41.02745,28.97574,Entire home/apt,309,1,78,2021-11-18,0.66,12,348,8,
401359,Central Apt. in Popular Nisantaşı,2002975,Jülide,,Besiktas,41.0495,28.99777,Private room,567,3,1,2012-04-02,0.01,1,365,0,
412766,Безупречночисто CasaLoBueno#1 Splendid GalataTower,2054075,Doret & Izel,,Beyoglu,41.02967,28.97256,Entire home/apt,1504,4,78,2021-11-10,0.67,4,351,8,
422001,Cozy Room @ Kaboom Guesthouse,1806816,Kaboom Guest House,,Beyoglu,41.03489,28.97376,Private room,223,2,9,2020-09-30,0.08,7,268,0,
422071,Cozy Flat 1BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03728,28.98093,Entire home/apt,758,2,63,2019-10-03,0.55,3,362,0,
429200,Pasha,182639,Mehmet Ali,,Beyoglu,41.02734,28.97751,Entire home/apt,921,5,1,2012-09-09,0.01,6,181,0,
447142,Ottoman istanbul..Yusufpasha Tram ترام يوسف باشا,1351134,Bãśmä,,Fatih,41.01038,28.94676,Private room,227,3,24,2021-09-03,0.21,15,83,1,
453816,Room in Central Istanbul / Cihangir,2254723,Yesim,,Beyoglu,41.02879,28.98177,Private room,292,2,18,2016-02-22,0.15,1,333,0,
457790,Old City Sultanahmet Apart Istanbul,2231981,Adar,,Fatih,41.00581,28.96676,Entire home/apt,770,3,120,2019-10-18,1.03,13,364,0,
469638,Near the bosphorus,2330281,Omer,,Besiktas,41.06782,29.04236,Entire home/apt,758,2,27,2021-06-27,0.24,2,362,1,
469811,"Couple friendly, Cute Roof w terrace in Beyoglu",2331089,Mehmet,,Beyoglu,41.03085,28.97494,Entire home/apt,571,2,45,2021-02-19,0.55,5,59,2,
478289,ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,2368759,Angie,,Basaksehir,41.0718,28.67921,Entire home/apt,1458,6,12,2018-05-29,0.15,1,365,0,
484153,"comfy room in Taksim, Istanbul",2395401,Özgür,,Sisli,41.04461,28.98187,Private room,140,7,3,2018-04-16,0.04,1,358,0,
499401,"Fair, clean & comfy Apt - Beyoglu",2464199,Fahrettin,,Beyoglu,41.03034,28.97043,Entire home/apt,2332,10,9,2013-09-17,0.08,5,364,0,
507117,Duplex Penthouse Central Located,2499854,Ozan,,Sisli,41.05739,28.9955,Private room,267,1,2,2017-05-18,0.02,1,365,0,
511597,Flats in Taksim 2 min. to square #2,2519004,Vedat Öz,,Bagcilar,41.03183,28.84544,Entire home/apt,583,2,2,2013-03-15,0.02,1,365,0,
511807,decent price/quality balance in Ist,1105099,Necip,,Fatih,41.01874,28.92929,Private room,117,20,9,2015-06-30,0.08,2,167,0,
516610,Nakkas Apart,2543742,Nakkas,,Fatih,41.0038,28.97045,Entire home/apt,1271,1,3,2012-11-28,0.03,2,365,0,
516720,Very central place-small room for 1,2544222,Biray Anil,,Sisli,41.06193,28.98508,Private room,117,1,42,2016-03-10,0.36,1,212,0,
519364,Elegance and high quality with breezy sea views,1366111,Julia & Tarkan,,Beyoglu,41.0272,28.97564,Entire home/apt,2021,3,87,2021-12-04,1.10,16,325,22,
519468,"Cosy charm, fabulous terrace views in Galata!",1366111,Julia & Tarkan,,Beyoglu,41.02459,28.97327,Entire home/apt,2319,3,132,2021-12-12,1.15,16,337,31,
520072,Room in Anatolian side of Istanbul,2404749,Sabite,,Kadikoy,40.98141,29.04636,Private room,155,1,0,,,1,362,0,
520189,"Cosy with frescoes, terrace views in Galata!",1366111,Julia & Tarkan,,Beyoglu,41.02786,28.9745,Entire home/apt,1528,3,104,2021-08-11,0.90,16,181,11,
520238,Stylish gem with amazing charm and nightlife buzz!,1366111,Julia & Tarkan,,Beyoglu,41.03595,28.97748,Entire home/apt,974,3,210,2021-12-22,1.86,16,352,36,
522700,2 Bedrooms & Galata & Best Design,2570612,Ahmet,,Beyoglu,41.02642,28.97432,Entire home/apt,1154,2,94,2016-07-22,0.81,9,361,0,
538538,flat in a safe & quiet district,2645069,Mehmet,,Kadikoy,41.00897,29.04131,Private room,309,1,0,,,1,365,0,
538833,Very Central Room With Sea View,2646839,Hexagram,,Beyoglu,41.03201,28.98275,Private room,567,1,47,2016-04-21,0.42,3,0,0,
541629,Apartment flat entrance - Beyoglu,2464199,Fahrettin,,Beyoglu,41.03025,28.97029,Entire home/apt,1749,10,22,2018-07-29,0.19,5,364,0,
541989,Beautiful Triplex in City Center,2664929,Figen,,Besiktas,41.07564,29.03602,Entire home/apt,1030,5,13,2018-08-14,0.12,1,358,0,
542354,Nakkas Apart with Sea View,2543742,Nakkas,,Fatih,41.00575,28.97075,Private room,1399,1,0,,,2,365,0,
546900,Very modern Apartment in Gayrettepe,2689464,Murat,,Besiktas,41.06409,29.00296,Private room,1621,1,0,,,1,365,0,
555588,Historical Istanbul House @ Taksim,2731976,Daniel,,Sisli,41.04358,28.98584,Entire home/apt,814,3,306,2021-12-21,2.67,2,244,14,
556293,A duplex @ heart of shop & dine,135136,Ozlem,,Sisli,41.0518,28.9986,Entire home/apt,1283,2,1,2016-01-01,0.01,2,60,0,
559714,Blue Suites by V Sultanahmet Deluxe,2751565,Volkan,,Fatih,41.00709,28.97905,Entire home/apt,1866,1,15,2021-11-07,0.15,3,361,6,
565598,"Fully furnished penthouse, Beyoglu",2781217,Fatma,,Beyoglu,41.036,28.97583,Entire home/apt,350,3,91,2021-09-15,0.94,7,273,3,
568306,"Economic Apt @ Taksim SQ, Beyoglu",225378,Goksel,,Beyoglu,41.03292,28.98175,Private room,525,3,0,,,2,365,0,
568452,Terraced Ottoman Villa,2797172,Piril,,Sariyer,41.16389,29.04211,Private room,1919,5,2,2015-09-05,0.02,4,365,0,
569323,"cosy & comfy room, very central",2802812,Rey,,Beyoglu,41.03542,28.98595,Private room,309,2,0,,,1,365,0,
575482,"LARGE, SAFE & COMFORTABLE FLAT",2266179,Seyda Mari,,Sisli,41.05458,28.98433,Entire home/apt,690,2,152,2020-12-11,1.33,3,243,0,
575662,Terraced Ottoman Villa - Room 1,2797172,Piril,,Sariyer,41.16357,29.04244,Private room,768,5,2,2016-10-26,0.02,4,365,0,
576358,comfortable and  central location,2464199,Fahrettin,,Beyoglu,41.03032,28.97043,Entire home/apt,1932,10,23,2018-08-02,0.20,5,364,0,
576398,Terraced Ottoman Villa - Room 2,2797172,Piril,,Sariyer,41.16267,29.04337,Private room,768,5,0,,,4,365,0,
576414,Terraced Ottoman Villa - Room 3,2797172,Piril,,Sariyer,41.16257,29.04247,Private room,512,5,1,2012-12-23,0.01,4,365,0,
576710,"CENTRAL PART OF ISTANBUL,TAXIM",2836764,Cerith,,Sisli,41.04425,28.98196,Entire home/apt,412,2,25,2018-09-05,0.22,3,361,0,
581815,STUDiO FLAT /ERASMUS STUDENT (İST,2951165,Şermin,,Sisli,41.04846,28.98748,Entire home/apt,650,3,0,,,2,179,0,
583129,double BR @ the heart of Cihangir,2872780,Galata,,Beyoglu,41.02423,28.97544,Private room,700,1,0,,,1,364,0,
591954,Cosy Double Room with Huge Terrace!,2541656,Başak,,Besiktas,41.05193,29.00551,Private room,233,1,47,2021-12-23,0.41,11,344,2,
592336,Room in Kadikoy/Istanbul,2924046,Ezgi,,Kadikoy,40.98556,29.03474,Private room,466,1,0,,,2,365,0,
597148,Flat and roomIN OLDCITY SULTANAHMET,2952503,Adem,,Fatih,41.00386,28.97251,Private room,1433,1,0,,,1,365,0,
598415,Double room in Avenue Bagdat Apart,767876,Pelin,,Kadikoy,40.97655,29.06465,Private room,525,5,7,2019-04-08,0.06,3,243,0,
607323,Blue Suites by V 1 Sultanahmet,2751565,Volkan,,Fatih,41.00708,28.97997,Hotel room,408,1,87,2021-12-23,0.82,3,361,4,
607344,Blue Suites by V 2 Sultanahmet,2751565,Volkan,,Fatih,41.00519,28.97907,Hotel room,408,1,37,2021-12-20,0.35,3,361,1,
610111,Enjoy the sea view rooms & terrace,3025239,Yasemin,,Fatih,40.99791,28.93114,Private room,633,1,0,,,1,365,0,
610875,Full furnished flat in Beyoglu/IST,2963950,Bilal,,Beyoglu,41.0384,28.98324,Entire home/apt,1020,1,0,,,1,365,0,
612327,Spacious Design Apartment on trendy Galata Square,2911496,Nadira,,Beyoglu,41.0262,28.97304,Entire home/apt,1258,3,219,2021-12-23,1.92,1,358,12,
617961,Historical Flat in Galata,3061457,Faik,,Beyoglu,41.02622,28.97429,Private room,338,360,0,,,1,365,0,
618156,"Sultanahmet-Istanbul, Adalar Suite",2999837,Saban,,Fatih,41.00417,28.96604,Entire home/apt,505,1,71,2021-11-07,0.64,15,362,11,
620129,Unique Concept in the Old City,3072862,Levent,,Fatih,41.00456,28.9798,Private room,3078,1,15,2015-07-29,0.14,4,363,0,
630494,Rooms with a Mystical Garden,3134482,Alper,,Beyoglu,41.03203,28.98853,Shared room,583,1,0,,,1,365,0,
630800,Cozy Flat in Cihangir - Prime Location !,485384,Alev,,Beyoglu,41.03161,28.98341,Entire home/apt,658,3,44,2021-12-14,0.39,2,210,6,
632120,COSY PLACE AT ISTANBUL NISANTASI,3144818,Semih,,Sisli,41.054,28.99023,Entire home/apt,1030,5,14,2021-05-25,0.12,5,335,1,
638542,Urban Bridge Loft - 3BR - 2BA - Galata,2618254,Dodo,,Beyoglu,41.02763,28.97595,Entire home/apt,2282,4,198,2021-12-26,1.75,3,93,9,
639951,Spacious Flat with Small Private Backyard,3195183,Efe & Memet,,Besiktas,41.04533,29.00523,Entire home/apt,472,2,37,2021-12-05,0.33,4,350,10,
644669,Apartment with nice bosphorus view,3153138,Erman,,Beyoglu,41.02445,28.9749,Private room,583,2,0,,,1,365,0,
646784,"Rooftop terrace, tower& water views",3242426,Kadir,,Beyoglu,41.02429,28.97383,Entire home/apt,1632,1,78,2021-09-25,0.76,12,348,7,
651039,"Quiet, spacious, with patio garden",3242426,Kadir,,Beyoglu,41.03242,28.98015,Entire home/apt,933,2,29,2021-11-03,0.33,12,361,2,
651276,"Cozy, high ceilings & marble floors",3242426,Kadir,,Beyoglu,41.03175,28.98016,Entire home/apt,700,2,12,2021-12-03,0.12,12,325,3,
652580,"Light, peaceful & high ceilings",3242426,Kadir,,Beyoglu,41.03083,28.98043,Entire home/apt,700,2,15,2021-10-17,0.20,12,325,1,
652610,"White, bright and airy!",3242426,Kadir,,Beyoglu,41.03025,28.98235,Entire home/apt,583,2,5,2020-11-09,0.06,12,0,0,
652635,Penthouse with panoramic views,3242426,Kadir,,Beyoglu,41.03047,28.98213,Entire home/apt,1399,2,12,2016-01-05,0.11,12,349,0,
657009,Campervan in Istanbul.Which city you want to sleep,3072139,Hasan Ali,,Fatih,41.00661,28.98383,Entire home/apt,1339,5,1,2018-10-22,0.03,1,180,0,
659314,Historic Old City Studio Apt Balat1,2361238,Carolina,,Fatih,41.02919,28.94835,Entire home/apt,292,2,191,2021-12-04,1.74,7,361,16,
659354,Historic Old City Duplex Apt Balat3,2361238,Carolina,,Fatih,41.02952,28.94716,Entire home/apt,426,2,187,2021-12-10,1.85,7,362,16,
661206,In the center with a good price,3338221,Bahar,,Fatih,41.01965,28.92452,Private room,226,1,33,2016-04-29,0.29,2,365,0,
